cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat
263,15.96121397968912,13.71953872200822,18.547030295482983,2,twin,middle-aged
264,15.96121397968912,13.71953872200822,18.547030295482983,2,twin,middle-aged
265,11.809032673881637,10.21910433012063,13.62079758958856,2,twin,young
266,11.809032673881637,10.21910433012063,13.62079758958856,2,twin,young
267,6.879719629374891,5.953887313424677,7.914236236939246,3,triplet,old
268,10.916964368755599,9.534853438609327,12.474046289042825,3,triplet,old
269,14.7083661041808,12.729000463183793,16.920091265180456,3,triplet,old
270,11.583638011945936,10.124445887940324,13.295640331373939,2,twin,young
271,11.278805432684202,9.858013101415578,12.945755059495678,2,twin,young
272,14.525731560830033,12.046828206505063,17.258229530944813,1,singleton,middle-aged
273,11.61991481064358,9.829145885800775,13.590917696239881,1,singleton,middle-aged
274,20.523118334090743,17.959450032114887,23.389420704740118,1,singleton,old
275,12.04391216161911,10.14709552323269,14.115164257899398,2,twin,middle-aged
276,14.233714372822583,11.992021982002266,16.681557759335654,2,twin,middle-aged
277,18.671488681890985,14.74615081439227,23.15195266718911,1,singleton,middle-aged
278,9.73343542473079,8.189231419333806,11.452579400216626,1,singleton,young
279,17.331114321013562,14.918865035314411,19.912955137875436,2,twin,young
280,15.50678649774898,13.348458189491847,17.816854597046447,2,twin,young
281,11.394784256319305,9.970157056176065,12.864590945832543,2,twin,old
282,15.667828352439042,13.70896595224209,17.688812550519746,2,twin,old
283,12.568328417766224,10.874242190168188,14.323575508372945,2,twin,middle-aged
284,10.995496252002585,9.395051495247387,12.747350945357546,2,twin,middle-aged
285,14.503605472914002,12.780668422510683,16.2708826360808,2,twin,middle-aged
286,14.21500216068862,12.427230663960575,16.147480649475362,2,twin,middle-aged
287,15.474568917564902,13.63771788220395,17.385965668067733,3,triplet,old
288,16.152629916264274,14.401665167619253,17.891391348370874,3,triplet,old
289,9.871051615494837,8.801017602433992,10.933628046226648,3,triplet,old
290,13.583842058135861,11.46602338598354,15.83507739355867,1,singleton,young
291,16.52035549883139,13.982310207476772,19.239609110949118,1,singleton,middle-aged
292,10.572241522944104,8.995276612728537,12.27310578754167,2,twin,old
293,11.090753814377724,9.536480308676762,12.740074479806838,2,twin,old
294,14.609072556540132,12.570777044028995,16.833693190116808,2,twin,middle-aged
295,12.845908627302531,11.053614297335843,14.802040563723397,2,twin,middle-aged
296,22.482663619510824,18.468471169302784,26.8863400844222,1,singleton,middle-aged
297,15.87351713405253,13.675363680759748,18.3284526971866,1,singleton,young
298,6.524978706265281,5.764648880102163,7.2814004007307265,2,twin,middle-aged
299,6.023057267321798,5.321214350863535,6.721292677597594,2,twin,middle-aged
300,10.27618682701376,8.872204227725518,11.813059213410694,2,twin,young
301,10.656786339125379,9.200804384307949,12.250579925018496,2,twin,young
302,16.476519356952636,14.269985503882397,18.866559359423444,2,twin,young
303,16.473810260095537,14.081954847475304,19.22058497176589,2,twin,young
304,17.493800004306312,15.306946559968324,19.765803757063182,2,twin,middle-aged
305,19.17128767595212,16.774735956129668,21.661154802261017,2,twin,middle-aged
306,11.462736174151269,9.50796031058147,13.622153659943953,1,singleton,old
307,18.35124017719553,15.81584012602026,21.221052460318504,2,twin,old
308,20.882445718877676,17.997335315816162,24.14809417898313,2,twin,old
309,8.544292828492079,7.464965862442512,9.686496582835478,2,twin,young
310,9.398722111341288,8.211462448686762,10.655146241119024,2,twin,young
311,11.557811003006378,9.882542601287426,13.464974063246421,2,twin,middle-aged
312,10.633186122765865,9.091939193184428,12.387776138186705,2,twin,middle-aged
313,9.6533266323765,8.64659127641333,10.737587992142458,2,twin,old
314,10.135992963995323,9.078920840233994,11.274467391749573,2,twin,old
315,14.809864237552913,12.805019422177336,17.013750639359838,2,twin,middle-aged
316,14.811409226647696,13.021818765078212,16.717957826353505,2,twin,middle-aged
317,18.53261616477371,16.126594899820248,20.955081626357792,2,twin,young
318,18.04491573938493,15.702210823509189,20.4036321098747,2,twin,young
319,13.274289520966096,11.410339847365632,15.222635706078796,2,twin,middle-aged
320,14.833471173327672,12.557734865682141,17.23970728325119,2,twin,middle-aged
321,15.576653079313248,13.401159428209388,18.037784112520693,2,twin,middle-aged
322,14.97926573567558,13.093718796836836,17.006946463537123,2,twin,middle-aged
323,10.496092382938258,8.802002095459295,12.458638090184486,1,singleton,young
324,14.974426676250987,12.172524681868051,18.180236577447218,1,singleton,old
325,11.684297278196247,10.073121688324242,13.57695481420189,2,twin,young
326,10.61935751461027,9.08010499958263,12.43137541836435,2,twin,young
327,13.15572207291939,10.85220650174387,15.76933286264087,1,singleton,middle-aged
328,13.876230380721571,11.054195119752865,17.19421989692624,1,singleton,young
329,14.653251890137776,12.096914978018031,17.743571058561887,1,singleton,old
330,10.314614831075824,9.162599915765597,11.579710666078384,2,twin,middle-aged
331,10.3130636383048,9.017128832776407,11.71495402026611,2,twin,middle-aged
332,13.838901361827276,11.9724015633014,15.81633285362541,1,singleton,middle-aged
333,23.163206148692552,20.596788201527417,25.838299748213686,3,triplet,old
334,18.931466563835258,16.833913433940676,21.11784114036695,3,triplet,old
335,12.249772482481639,10.892532221961616,13.66448544376685,3,triplet,old
336,19.456604104456996,17.14058890258368,21.940370500363503,1,singleton,middle-aged
337,10.795714134919619,9.553750444997018,12.086668799781469,2,twin,young
338,11.512451639964194,10.054248752287174,13.072420788159267,2,twin,young
339,14.540730577227695,12.978227785567384,16.101981785495266,2,twin,middle-aged
340,15.26443512437536,13.466315271319944,17.209683059823856,2,twin,middle-aged
341,9.85597786440105,8.684854578458134,11.057999041826093,1,singleton,old
342,9.648996924489321,8.504423782009493,10.842170149896107,2,twin,middle-aged
343,9.87873494650097,8.70691006253353,11.100317058226965,2,twin,middle-aged
344,17.024740551606254,14.958436610376808,19.204446716314216,2,twin,young
345,15.825815160648068,13.905025581477032,17.852020891221677,2,twin,young
346,13.403354473236385,11.788568406822897,15.121718951708697,2,twin,old
347,13.637983491546855,12.188358315259467,15.122874678782836,2,twin,old
348,12.80553213636183,10.667477224142116,15.316166255699576,1,singleton,old
349,15.553317071930632,12.63326939753233,18.800779167708992,1,singleton,middle-aged
350,18.806657883126572,15.666774010019717,22.249562922606128,1,singleton,middle-aged
351,13.025926052525387,11.199272038789514,14.85855876782035,2,twin,middle-aged
352,12.18554372655601,10.476738358867612,13.899942073122265,2,twin,middle-aged
